Rank,Release Group,Worldwide,Domestic,%,Foreign,%
86,The Grandmother,"$1,992,762",-,-,"$1,992,762",100%
87,The Beatles: Get Back,"$1,948,328",-,-,"$1,948,328",100%
88,Heart of Oak,"$1,924,386",-,-,"$1,924,386",100%
89,Wedding High,"$1,908,598",-,-,"$1,908,598",100%
90,Aslan: Hürkus kayip Elmas,"$1,883,289",-,-,"$1,883,289",100%
91,Love Mocktail 2,"$1,845,639",-,-,"$1,845,639",100%
92,2022 Oscar Nominated Short Films: Live Action/2022 Oscar Nominated Short Films: Animation/2022 Oscar Nominated Short Films: Documentary 2022 Oscar Nominated Short Films,"$1,773,695","$1,773,695",100%,-,-
93,Kappei,"$1,770,794",-,-,"$1,770,794",100%
94,Everything Everywhere All at Once,"$1,759,060","$1,759,060",100%,-,-
95,The King's Daughter,"$1,758,963","$1,758,963",100%,-,-
96,Hridayam,"$1,740,483",-,-,"$1,740,483",100%
97,"Love, Sex & Pandemic","$1,712,634",-,-,"$1,712,634",100%
98,Kamen Rider OOO 10th: The Core Medals of Resurrection,"$1,675,005",-,-,"$1,675,005",100%
99,Aaraattu,"$1,648,155",-,-,"$1,648,155",100%
100,Undercover,"$1,601,934",-,-,"$1,601,934",100%
101,Corro da te,"$1,556,297",-,-,"$1,556,297",100%
102,Gierek,"$1,531,831",-,-,"$1,531,831",100%
103,For Ziko,"$1,526,578",-,-,"$1,526,578",100%
104,Alors on danse,"$1,500,048",-,-,"$1,500,048",100%
105,V lete ti poviem,"$1,478,352",-,-,"$1,478,352",100%
106,Odinnadtsat molchalivykh muzhchin,"$1,441,135",-,-,"$1,441,135",100%
107,Love Is Better Than Life,"$1,410,719",-,-,"$1,410,719",100%
108,Infinite Storm,"$1,386,055","$1,386,055",100%,-,-
109,The Contractor,"$1,343,674","$535,000",39.8%,"$808,674",60.2%
110,Osomatsusan the Movie 2022 Re-release,"$1,341,173",-,-,"$1,341,173",100%
111,The Ancestral,"$1,321,438",-,-,"$1,321,438",100%
112,Nhà Khong Bán,"$1,271,932",-,-,"$1,271,932",100%
113,Dilberay Küçük Dev Kadin,"$1,244,893",-,-,"$1,244,893",100%
114,Heart to Heart,"$1,207,696",-,-,"$1,207,696",100%
115,Finnick,"$1,198,928",-,-,"$1,198,928",100%
116,Swingers,"$1,168,817",-,-,"$1,168,817",100%
117,A Radiant Girl,"$1,154,112",-,-,"$1,154,112",100%
118,Badhaai Do,"$1,138,046",-,-,"$1,138,046",100%
119,1990,"$1,106,702",-,-,"$1,106,702",100%
120,Le temps des secrets,"$1,094,929",-,-,"$1,094,929",100%
121,Full Time,"$1,035,135",-,-,"$1,035,135",100%
122,The Butcher's Daughter,"$1,033,162",-,-,"$1,033,162",100%
123,Veerame Vaagai Soodum,"$1,024,908",-,-,"$1,024,908",100%
124,The Tiger Rising,"$1,013,831","$835,162",82.4%,"$178,669",17.6%
125,Malnazidos,"$1,013,332",-,-,"$1,013,332",100%
126,The Midnight Maiden War,"$996,057",-,-,"$996,057",100%
127,Aaja Mexico Challiye,"$981,706",-,-,"$981,706",100%
128,Dancing the Twist in Bamako,"$956,475",-,-,"$956,475",100%
129,Leopoldstadt - Nt Live 2022 (Theatre),"$935,181",-,-,"$935,181",100%
130,La brigade,"$917,996",-,-,"$917,996",100%
131,Zero Fucks Given,"$911,235",-,-,"$911,235",100%
132,Rabbit Academy,"$891,039",-,-,"$891,039",100%
133,Hello Jadoo: The Secret of Jeju Island,"$868,554",-,-,"$868,554",100%
134,Usogui,"$855,598",-,-,"$855,598",100%
135,The Family,"$847,236",-,-,"$847,236",100%
136,Krime Story,"$845,412",-,-,"$845,412",100%
137,The Souvenir,"$827,917",-,-,"$827,917",100%
138,My Brothers and I,"$825,312",-,-,"$825,312",100%
139,Official Competition,"$813,471",-,-,"$813,471",100%
140,Malnazidos 2022 Re-release,"$779,798",-,-,"$779,798",100%
141,Adieu Paris,"$771,286",-,-,"$771,286",100%
142,Placés,"$759,453",-,-,"$759,453",100%
143,Proyecto Emperador,"$757,254",-,-,"$757,254",100%
144,The Nan Movie,"$744,947",-,-,"$744,947",100%
145,Emergency Situation,"$732,335",-,-,"$732,335",100%
146,FIR,"$709,663",-,-,"$709,663",100%
147,Boiling Point,"$705,045",-,-,"$705,045",100%
148,The Companions,"$704,580",-,-,"$704,580",100%
149,Zlatni decko,"$696,097",-,-,"$696,097",100%
150,America Latina,"$693,818",-,-,"$693,818",100%
151,Meppadiyan,"$691,981",-,-,"$691,981",100%
152,Liubov i blohery,"$677,744",-,-,"$677,744",100%
153,Lynx,"$668,972",-,-,"$668,972",100%
154,The Deer King,"$654,789",-,-,"$654,789",100%
155,Ik wist het,"$644,643",-,-,"$644,643",100%
156,Kaptan Pengu ve Arkadaslari 2,"$643,626",-,-,"$643,626",100%
157,Benden Ne Olur,"$639,014",-,-,"$639,014",100%
158,Zaï Zaï Zaï Zaï,"$622,060",-,-,"$622,060",100%
159,The Blue Skies at Your Feet,"$613,496",-,-,"$613,496",100%
160,Too Old for Fairy Tales,"$602,415",-,-,"$602,415",100%
161,The Phantom of the Open,"$601,962",-,-,"$601,962",100%
162,Serve the People,"$562,293",-,-,"$562,293",100%
163,How I Learned to Fly,"$554,178",-,-,"$554,178",100%
164,C'era una volta il crimine,"$540,636",-,-,"$540,636",100%
165,Bangarraju,"$534,735",-,-,"$534,735",100%
166,The Book Of Dust - La Belle Sauvage - Nt Live 2022 (Theatre),"$523,838",-,-,"$523,838",100%
167,Hey Sinamika,"$521,057",-,-,"$521,057",100%
168,Three Times Nothing,"$504,890",-,-,"$504,890",100%
169,Milosc jest blisko,"$504,348",-,-,"$504,348",100%
170,Softie,"$489,094",-,-,"$489,094",100%
171,Ek Love Ya,"$475,499",-,-,"$475,499",100%
172,Murder Party,"$453,590",-,-,"$453,590",100%
173,Betlémské svetlo,"$449,507",-,-,"$449,507",100%
174,Fruits Basket: Prelude,"$434,280",-,-,"$434,280",100%
175,Ali & Ava,"$429,226",-,-,"$429,226",100%
176,Reunion 2,"$417,121",-,-,"$417,121",100%
177,The Chef,"$416,658",-,-,"$416,658",100%
178,Palmyra,"$410,113",-,-,"$410,113",100%
179,"Romeo & Juliet - Roh, London 2022 (Ballet)","$407,787",-,-,"$407,787",100%
180,Petya na moyata Petya,"$403,956",-,-,"$403,956",100%
181,Den slepogo valentina,"$401,338",-,-,"$401,338",100%
182,Adanis: Kutsal Kavga,"$398,933",-,-,"$398,933",100%
183,Prior Convictions,"$394,401",-,-,"$394,401",100%
184,Cuarentones,"$392,895",-,-,"$392,895",100%
185,Papy,"$389,149",-,-,"$389,149",100%
186,Tyson's Run,"$387,450","$387,450",100%,-,-
187,Book of Love,"$377,470",-,-,"$377,470",100%
188,Alice,"$364,540","$364,540",100%,-,-
189,The Path,"$358,527",-,-,"$358,527",100%
190,"Camera Café, la película","$354,051",-,-,"$354,051",100%
191,Nitram,"$344,826",-,-,"$344,826",100%
192,Miyuki Nakajima Live History 2007-2016,"$343,339",-,-,"$343,339",100%
193,The Best Weekend,"$342,002",-,-,"$342,002",100%
194,Brother,"$335,148",-,-,"$335,148",100%
195,Thunderbirds Go Go,"$331,934",-,-,"$331,934",100%
196,Un Rabón con Corazón,"$321,899",-,-,"$321,899",100%
197,Paw Patrol: Mission Xmas,"$320,402",-,-,"$320,402",100%
198,Clean,"$318,877","$318,877",100%,-,-
199,Last Looks,"$317,258",-,-,"$317,258",100%
200,Bachchhan Paandey,"$310,120",-,-,"$310,120",100%
